id,match
kasten_blau_45_15_0342,den 13ten maj 1688 <mark>Jest</mark> gleich kombt die traurige
kasten_blau_45_9_0263,beyde vnd vns alle. <mark>Jest</mark> verlangt mich vnerhört auf
kasten_blau_45_15_0884,bestendige gesuntheit bringen möge. <mark>Jest</mark> due ich schon die
kasten_blau_45_15_0869,"noch reden können, weil <mark>jest</mark> alleweil die processionen vnd"
kasten_blau_45_15_0843,"erhalten. Das wetter ist <mark>jest</mark> gahr schön, wans so"
kasten_blau_45_15_0862,"procession gahr gutt abgangen. <mark>Jest</mark>, hoff ich, werden die"
